MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
2019-04-01 0:00,2,3,2019-04-02 0:00,0,100.00 ,2019-04-03 0:00,0,98.92 
2019-04-01 4:30,1,2,2019-04-02 4:30,1,97.82 ,2019-04-03 4:30,0,99.06 
2019-04-01 10:30,2,3,2019-04-02 10:30,0,100.00 ,2019-04-03 10:30,0,99.96 
2019-04-01 11:00,1,1,2019-04-02 11:00,0,100.00 ,2019-04-03 11:00,0,95.97 
2019-04-01 13:30,2,1,2019-04-02 13:30,0,99.09 ,2019-04-03 13:30,0,99.41 
2019-04-01 17:00,2,2,2019-04-02 17:00,1,100.00 ,2019-04-03 17:00,1,85.14 
2019-04-01 18:30,2,3,2019-04-02 18:30,1,100.00 ,2019-04-03 18:30,0,100.00 
2019-04-01 20:30,2,1,2019-04-02 20:30,1,100.00 ,2019-04-03 20:30,0,99.47 
2019-04-02 6:00,1,2,2019-04-03 6:00,1,99.63 ,2019-04-04 6:00,0,99.09 
2019-04-02 7:00,1,1,2019-04-03 7:00,1,100.00 ,2019-04-04 7:00,0,99.99 
2019-04-02 9:30,1,1,2019-04-03 9:30,0,95.80 ,2019-04-04 9:30,0,99.92 
2019-04-02 12:30,1,2,2019-04-03 12:30,1,52.79 ,2019-04-04 12:30,0,99.09 
2019-04-02 15:00,1,1,2019-04-03 15:00,0,100.00 ,2019-04-04 15:00,1,76.40 
2019-04-02 16:00,2,2,2019-04-03 16:00,1,100.00 ,2019-04-04 16:00,1,98.39 
2019-04-02 16:30,1,1,2019-04-03 16:30,0,100.00 ,2019-04-04 16:30,1,78.30 
2019-04-02 17:00,2,2,2019-04-03 17:00,1,100.00 ,2019-04-04 17:00,1,99.33 
2019-04-02 19:30,1,1,2019-04-03 19:30,0,100.00 ,2019-04-04 19:30,0,95.14 
2019-04-03 0:30,1,2,2019-04-04 0:30,1,100.00 ,2019-04-05 0:30,0,99.10 
2019-04-03 1:00,1,1,2019-04-04 1:00,1,97.11 ,2019-04-05 1:00,0,99.53 
2019-04-03 3:00,2,3,2019-04-04 3:00,1,97.20 ,2019-04-05 3:00,0,99.98 
2019-04-03 4:30,1,1,2019-04-04 4:30,1,100.00 ,2019-04-05 4:30,0,99.87 
2019-04-03 7:00,2,1,2019-04-04 7:00,1,96.82 ,2019-04-05 7:00,0,99.54 
2019-04-03 8:30,2,1,2019-04-04 8:30,0,100.00 ,2019-04-05 8:30,0,99.57 
2019-04-03 9:00,1,1,2019-04-04 9:00,0,84.49 ,2019-04-05 9:00,0,99.95 
2019-04-03 10:00,2,1,2019-04-04 10:00,0,100.00 ,2019-04-05 10:00,0,99.53 
2019-04-03 11:00,2,2,2019-04-04 11:00,1,81.74 ,2019-04-05 11:00,0,100.00 
2019-04-03 11:30,1,2,2019-04-04 11:30,0,85.31 ,2019-04-05 11:30,0,99.01 
2019-04-03 12:30,1,3,2019-04-04 12:30,0,100.00 ,2019-04-05 12:30,1,100.00 
2019-04-03 17:00,2,2,2019-04-04 17:00,1,100.00 ,2019-04-05 17:00,1,97.20 
2019-04-03 19:00,2,2,2019-04-04 19:00,1,100.00 ,2019-04-05 19:00,1,73.84 
2019-04-03 19:30,2,1,2019-04-04 19:30,1,100.00 ,2019-04-05 19:30,0,99.42 
2019-04-04 0:30,1,2,2019-04-05 0:30,1,99.32 ,2019-04-06 0:30,0,99.10 
2019-04-04 4:30,2,1,2019-04-05 4:30,1,100.00 ,2019-04-06 4:30,0,99.53 
2019-04-04 5:00,2,2,2019-04-05 5:00,0,100.00 ,2019-04-06 5:00,0,100.00 
2019-04-04 6:00,1,1,2019-04-05 6:00,1,100.00 ,2019-04-06 6:00,0,99.99 
2019-04-04 14:30,2,3,2019-04-05 14:30,1,100.00 ,2019-04-06 14:30,0,100.00 
2019-04-04 18:00,2,3,2019-04-05 18:00,1,100.00 ,2019-04-06 18:00,0,100.00 
2019-04-04 22:00,1,1,2019-04-05 22:00,1,94.71 ,2019-04-06 22:00,0,88.35 
2019-04-04 23:00,1,1,2019-04-05 23:00,1,100.00 ,2019-04-06 23:00,0,96.03 
2019-04-05 0:00,2,1,2019-04-06 0:00,1,62.85 ,2019-04-07 0:00,0,99.56 
2019-04-05 0:30,1,1,2019-04-06 0:30,0,97.37 ,2019-04-07 0:30,0,96.93 
2019-04-05 1:30,2,2,2019-04-06 1:30,0,100.00 ,2019-04-07 1:30,0,100.00 
2019-04-05 2:00,1,2,2019-04-06 2:00,1,98.73 ,2019-04-07 2:00,0,99.02 
2019-04-05 2:30,1,3,2019-04-06 2:30,0,100.00 ,2019-04-07 2:30,1,100.00 
2019-04-05 4:30,2,1,2019-04-06 4:30,1,74.28 ,2019-04-07 4:30,0,99.54 
2019-04-05 6:30,2,2,2019-04-06 6:30,0,100.00 ,2019-04-07 6:30,0,100.00 
2019-04-05 8:00,1,3,2019-04-06 8:00,0,100.00 ,2019-04-07 8:00,1,100.00 
2019-04-05 13:00,2,3,2019-04-06 13:00,1,100.00 ,2019-04-07 13:00,0,100.00 
2019-04-05 15:30,1,3,2019-04-06 15:30,0,99.80 ,2019-04-07 15:30,1,100.00 
2019-04-05 18:00,1,1,2019-04-06 18:00,0,100.00 ,2019-04-07 18:00,1,75.69 
2019-04-05 18:00,2,3,2019-04-06 18:00,1,100.00 ,2019-04-07 18:00,0,100.00 
2019-04-05 21:30,1,2,2019-04-06 21:30,1,99.49 ,2019-04-07 21:30,0,99.10 
2019-04-06 0:30,1,1,2019-04-07 0:30,0,100.00 ,2019-04-08 0:30,0,97.39 
2019-04-06 2:00,2,3,2019-04-07 2:00,0,99.86 ,2019-04-08 2:00,0,99.74 
2019-04-06 2:00,1,2,2019-04-07 2:00,1,100.00 ,2019-04-08 2:00,0,99.11 
2019-04-06 6:30,1,3,2019-04-07 6:30,0,100.00 ,2019-04-08 6:30,1,100.00 
2019-04-06 12:00,2,3,2019-04-07 12:00,0,100.00 ,2019-04-08 12:00,0,99.99 
2019-04-06 17:00,1,1,2019-04-07 17:00,0,100.00 ,2019-04-08 17:00,0,59.66 
2019-04-06 18:00,1,3,2019-04-07 18:00,0,100.00 ,2019-04-08 18:00,1,100.00 
2019-04-06 21:00,2,1,2019-04-07 21:00,0,90.43 ,2019-04-08 21:00,0,99.46 
2019-04-06 22:30,1,3,2019-04-07 22:30,0,100.00 ,2019-04-08 22:30,1,100.00 
2019-04-07 0:30,2,2,2019-04-08 0:30,0,100.00 ,2019-04-09 0:30,0,99.39 
2019-04-07 2:30,2,2,2019-04-08 2:30,0,100.00 ,2019-04-09 2:30,0,99.74 
2019-04-07 3:00,1,3,2019-04-08 3:00,0,100.00 ,2019-04-09 3:00,1,100.00 
2019-04-07 3:00,2,1,2019-04-08 3:00,0,97.87 ,2019-04-09 3:00,0,99.53 
2019-04-07 7:30,2,1,2019-04-08 7:30,0,99.99 ,2019-04-09 7:30,0,99.59 
2019-04-07 12:00,1,1,2019-04-08 12:00,0,100.00 ,2019-04-09 12:00,1,66.54 
2019-04-07 13:30,2,2,2019-04-08 13:30,1,100.00 ,2019-04-09 13:30,1,88.53 
2019-04-07 13:30,2,3,2019-04-08 13:30,1,87.78 ,2019-04-09 13:30,0,100.00 
2019-04-07 17:30,2,3,2019-04-08 17:30,1,100.00 ,2019-04-09 17:30,0,100.00 
2019-04-08 1:30,1,1,2019-04-09 1:30,0,100.00 ,2019-04-10 1:30,0,99.66 
2019-04-08 2:00,2,3,2019-04-09 2:00,0,100.00 ,2019-04-10 2:00,0,99.35 
2019-04-08 2:00,1,3,2019-04-09 2:00,0,100.00 ,2019-04-10 2:00,1,100.00 
2019-04-08 5:30,1,3,2019-04-09 5:30,0,100.00 ,2019-04-10 5:30,1,100.00 
2019-04-08 8:00,2,1,2019-04-09 8:00,0,100.00 ,2019-04-10 8:00,0,99.67 
2019-04-08 11:00,2,3,2019-04-09 11:00,0,100.00 ,2019-04-10 11:00,0,99.99 
2019-04-08 12:00,2,2,2019-04-09 12:00,1,100.00 ,2019-04-10 12:00,0,80.73 
2019-04-08 13:30,2,2,2019-04-09 13:30,1,100.00 ,2019-04-10 13:30,1,98.81 
2019-04-08 17:30,2,3,2019-04-09 17:30,1,100.00 ,2019-04-10 17:30,0,100.00 
2019-04-08 20:30,2,3,2019-04-09 20:30,1,100.00 ,2019-04-10 20:30,0,99.99 
2019-04-08 23:00,2,1,2019-04-09 23:00,0,85.11 ,2019-04-10 23:00,0,99.64 
2019-04-08 23:30,1,2,2019-04-09 23:30,1,99.19 ,2019-04-10 23:30,0,99.12 
2019-04-09 1:00,2,3,2019-04-10 1:00,1,86.31 ,2019-04-11 1:00,0,99.94 
2019-04-09 2:00,2,1,2019-04-10 2:00,0,97.81 ,2019-04-11 2:00,0,99.66 
2019-04-09 2:30,1,1,2019-04-10 2:30,0,99.97 ,2019-04-11 2:30,0,99.97 
2019-04-09 3:30,2,2,2019-04-10 3:30,0,100.00 ,2019-04-11 3:30,0,99.95 
2019-04-09 4:30,2,3,2019-04-10 4:30,0,99.98 ,2019-04-11 4:30,0,99.33 
2019-04-09 5:30,1,3,2019-04-10 5:30,0,100.00 ,2019-04-11 5:30,1,100.00 
2019-04-09 8:30,2,2,2019-04-10 8:30,0,80.01 ,2019-04-11 8:30,0,99.45 
2019-04-09 9:00,1,1,2019-04-10 9:00,0,100.00 ,2019-04-11 9:00,0,99.94 
2019-04-09 9:30,1,1,2019-04-10 9:30,0,100.00 ,2019-04-11 9:30,0,99.86 
2019-04-09 21:00,1,2,2019-04-10 21:00,1,100.00 ,2019-04-11 21:00,0,99.02 
2019-04-10 1:00,2,2,2019-04-11 1:00,0,100.00 ,2019-04-12 1:00,0,100.00 
2019-04-10 1:30,1,3,2019-04-11 1:30,0,100.00 ,2019-04-12 1:30,1,100.00 
2019-04-10 2:00,2,2,2019-04-11 2:00,0,100.00 ,2019-04-12 2:00,0,100.00 
2019-04-10 4:30,1,1,2019-04-11 4:30,1,100.00 ,2019-04-12 4:30,0,99.99 
2019-04-10 6:30,2,3,2019-04-11 6:30,0,100.00 ,2019-04-12 6:30,0,95.14 
2019-04-10 7:30,1,2,2019-04-11 7:30,1,98.60 ,2019-04-12 7:30,0,99.00 
2019-04-10 10:00,1,1,2019-04-11 10:00,1,100.00 ,2019-04-12 10:00,0,99.56 
2019-04-10 13:00,1,3,2019-04-11 13:00,0,100.00 ,2019-04-12 13:00,1,100.00 
2019-04-10 13:00,2,1,2019-04-11 13:00,0,97.20 ,2019-04-12 13:00,0,99.66 
2019-04-10 13:00,2,3,2019-04-11 13:00,0,100.00 ,2019-04-12 13:00,0,93.82 
2019-04-10 16:30,1,1,2019-04-11 16:30,1,62.91 ,2019-04-12 16:30,0,96.45 
2019-04-10 18:00,1,3,2019-04-11 18:00,0,100.00 ,2019-04-12 18:00,1,100.00 
2019-04-10 18:00,2,3,2019-04-11 18:00,0,100.00 ,2019-04-12 18:00,0,99.75 
2019-04-10 18:30,2,2,2019-04-11 18:30,0,100.00 ,2019-04-12 18:30,0,100.00 
2019-04-10 20:30,2,2,2019-04-11 20:30,0,100.00 ,2019-04-12 20:30,0,100.00 
2019-04-11 2:30,1,3,2019-04-12 2:30,0,100.00 ,2019-04-13 2:30,1,100.00 
2019-04-11 3:00,2,2,2019-04-12 3:00,0,100.00 ,2019-04-13 3:00,0,100.00 
2019-04-11 8:30,2,3,2019-04-12 8:30,0,100.00 ,2019-04-13 8:30,0,98.75 
2019-04-11 9:30,2,2,2019-04-12 9:30,0,100.00 ,2019-04-13 9:30,0,100.00 
2019-04-11 11:00,1,3,2019-04-12 11:00,0,100.00 ,2019-04-13 11:00,1,100.00 
2019-04-11 11:30,2,2,2019-04-12 11:30,1,99.56 ,2019-04-13 11:30,0,100.00 
2019-04-11 14:30,1,2,2019-04-12 14:30,1,98.90 ,2019-04-13 14:30,0,99.04 
2019-04-11 15:30,2,1,2019-04-12 15:30,1,99.09 ,2019-04-13 15:30,0,99.37 
2019-04-11 20:30,1,3,2019-04-12 20:30,0,100.00 ,2019-04-13 20:30,1,100.00 
2019-04-11 20:30,2,2,2019-04-12 20:30,0,100.00 ,2019-04-13 20:30,0,99.94 
2019-04-12 3:00,2,1,2019-04-13 3:00,0,66.18 ,2019-04-14 3:00,0,99.69 
2019-04-12 7:00,1,2,2019-04-13 7:00,1,98.82 ,2019-04-14 7:00,0,99.02 
2019-04-12 14:30,1,2,2019-04-13 14:30,1,68.34 ,2019-04-14 14:30,0,99.08 
2019-04-12 22:00,1,1,2019-04-13 22:00,0,76.75 ,2019-04-14 22:00,0,98.01 
2019-04-13 2:00,1,3,2019-04-14 2:00,0,100.00 ,2019-04-15 2:00,1,100.00 
2019-04-13 5:00,2,3,2019-04-14 5:00,0,100.00 ,2019-04-15 5:00,0,96.41 
2019-04-13 7:00,1,3,2019-04-14 7:00,0,100.00 ,2019-04-15 7:00,1,100.00 
2019-04-13 7:30,1,1,2019-04-14 7:30,1,51.78 ,2019-04-15 7:30,0,99.99 
2019-04-13 11:00,2,2,2019-04-14 11:00,1,100.00 ,2019-04-15 11:00,0,99.96 
2019-04-13 16:00,1,2,2019-04-14 16:00,1,98.24 ,2019-04-15 16:00,0,99.10 
2019-04-13 19:00,2,1,2019-04-14 19:00,1,99.31 ,2019-04-15 19:00,0,99.41 
2019-04-13 22:30,1,1,2019-04-14 22:30,0,100.00 ,2019-04-15 22:30,0,96.73 
2019-04-14 6:00,1,2,2019-04-15 6:00,1,93.63 ,2019-04-16 6:00,0,99.09 
2019-04-14 8:30,2,2,2019-04-15 8:30,0,100.00 ,2019-04-16 8:30,0,99.88 
2019-04-14 11:00,1,3,2019-04-15 11:00,0,100.00 ,2019-04-16 11:00,1,100.00 
2019-04-14 11:30,1,1,2019-04-15 11:30,1,100.00 ,2019-04-16 11:30,0,99.77 
2019-04-14 14:30,1,2,2019-04-15 14:30,1,93.26 ,2019-04-16 14:30,0,98.99 
2019-04-14 15:30,1,3,2019-04-15 15:30,0,100.00 ,2019-04-16 15:30,1,100.00 
2019-04-14 20:00,2,3,2019-04-15 20:00,0,99.61 ,2019-04-16 20:00,0,99.87 
2019-04-15 0:30,2,1,2019-04-16 0:30,0,99.64 ,2019-04-17 0:30,0,99.67 
2019-04-15 0:30,2,3,2019-04-16 0:30,0,99.99 ,2019-04-17 0:30,0,98.80 
2019-04-15 2:30,1,2,2019-04-16 2:30,1,100.00 ,2019-04-17 2:30,0,99.14 
